KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
Q36.1;Razcep ustnice, medialni;Cleft lip, median
Q36.9;Enostranski razcep ustnice;Cleft lip, unilateral
Q37;Razcepljeno nebo z razcepom ustnice;Cleft palate with cleft lip
Q37.0;Razcepljeno trdo nebo z obojestranskim razcepom ustnice;Cleft hard palate with bilateral cleft lip
Q37.1;Razcepljeno trdo nebo z enostranskim razcepom ustnice;Cleft hard palate with unilateral cleft lip
Q37.2;Razcepljeno mehko nebo z obojestranskim razcepom ustnice;Cleft soft palate with bilateral cleft lip
Q37.3;Razcepljeno mehko nebo z enostranskim razcepom ustnice;Cleft soft palate with unilateral cleft lip
Q37.4;Razcepljeno trdo in mehko nebo z obojestranskim razcepom ustnice;Cleft hard and soft palate with bilateral cleft lip
Q37.5;Razcepljeno trdo in mehko nebo z enostranskim razcepom ustnice;Cleft hard and soft palate with unilateral cleft lip
Q37.8;Neopredeljeno razcepljeno nebo z obojestranskim razcepom ustnice;Unspecified cleft palate with bilateral cleft lip
Q37.9;Neopredeljeno razcepljeno nebo z enostranskim razcepom ustnice;Unspecified cleft palate with unilateral cleft lip
Q38;Druge prirojene malformacije jezika, ust in žrela;Other congenital malformations of tongue, mouth and pharynx
Q38.0;Prirojene malformacije ustnic, ki niso uvrščene drugje;Congenital malformations of lips, not elsewhere classified
Q38.1;Ankiloglosija;Ankyloglossia
Q38.2;Makroglosija;Macroglossia
Q38.3;Druge prirojene malformacije jezika;Other congenital malformations of tongue
Q38.4;Prirojena malformacija žlez slinavk in njihovih izvodil;Congenital malformations of salivary glands and ducts
Q38.5;Prirojena malformacija neba, ki ni uvrščena drugje;Congenital malformations of palate, not elsewhere classified
Q38.6;Druge prirojene malformacije ust;Other congenital malformations of mouth
Q38.7;Žepek žrela;Pharyngeal pouch
Q38.8;Druge prirojene malformacije žrela;Other congenital malformations of pharynx
Q39;Prirojene malformacije požiralnika;Congenital malformations of oesophagus
Q39.0;Atrezija požiralnika brez fistule;Atresia of oesophagus without fistula
Q39.1;Atrezija požiralnika s traheoezofagealno fistulo;Atresia of oesophagus with tracheo-oesophageal fistula
Q39.11;Atrezija požiralnika s fistulo med trahejo in zgornjim požiralnikom;Atresia of oesophagus with fistula between trachea and upper oesophageal pouch
Q39.12;Atrezija požiralnika s fistulo med trahejo in spodnjim požiralnikom ;Atresia of oesophagus with fistula between trachea and lower oesophageal pouch
Q39.19;Atrezija požiralnika s fistulo med trahejo in požiralnikom kjerkoli;Atresia of oesophagus with tracheo-oesophageal fistula
Q39.2;Prirojena traheoezofagealna fistula brez atrezije;Congenital tracheo-oesophageal fistula without atresia
Q39.21;Prirojena traheoezofagealna fistula brez atrezije;Congenital tracheo-oesophageal fistula without atresia
Q39.22;Prirojena bronhoezofagealna fistula brez atrezije;Congenital broncho-oesophageal fistula without atresia
Q39.3;Prirojena zožitev in striktura požiralnika ;Congenital stenosis and stricture of oesophagus
Q39.4;Guba požiralnika;Oesophageal web
Q39.5;Prirojena razširitev požiralnika;Congenital dilatation of oesophagus
Q39.6;Divertikel požiralnika;Diverticulum of oesophagus
Q39.8;Druge prirojene malformacije požiralnika;Other congenital malformations of oesophagus
Q39.81;Prirojena podvojitev požiralnika;Congenital duplication of oesophagus
Q39.82;Motnja motilitete požiralnika;Oesophageal dysmotility
Q39.89;Druga prirojena malformacija požiralnika;Other congenital malformations of oesophagus
Q39.9;Prirojena malformacija požiralnika, neopredeljena;Congenital malformation of oesophagus, unspecified
Q40;Druge prirojene malformacije zgornjih prebavil;Other congenital malformations of upper alimentary tract
Q40.0;Prirojena hipertrofična stenoza pilorusa;Congenital hypertrophic pyloric stenosis
Q40.1;Prirojena hiatusna hernija;Congenital hiatus hernia
Q40.2;Druge opredeljene prirojene malformacije želodca;Other specified congenital malformations of stomach
Q40.3;Prirojena malformacija želodca, neopredeljena;Congenital malformation of stomach, unspecified
Q40.8;Druge opredeljene prirojene malformacije zgornjih prebavil;Other specified congenital malformations of upper alimentary tract
Q40.9;Prirojena malformacija zgornjih prebavil, neopredeljena;Congenital malformation of upper alimentary tract, unspecified
Q41;Prirojena odsotnost, atrezija in stenoza tankega črevesa;Congenital absence, atresia and stenosis of small intestine
Q41.0;Prirojena odsotnost, atrezija in stenoza dvanajstnika;Congenital absence, atresia and stenosis of duodenum
Q41.1;Prirojena odsotnost, atrezija in stenoza jejunuma;Congenital absence, atresia and stenosis of jejunum
Q41.2;Prirojena odsotnost, atrezija in stenoza ileuma;Congenital absence, atresia and stenosis of ileum
Q41.8;Prirojena odsotnost, atrezija in stenoza drugih opredeljenih delov tankega črevesa;Congenital absence, atresia and stenosis of other specified parts of small intestine
Q41.9;Prirojena odsotnost, atrezija in stenoza tankega črevesa, na neopredeljenem delu;Congenital absence, atresia and stenosis of small intestine, part unspecified
Q42;Prirojena odsotnost, atrezija in stenoza debelega črevesa;Congenital absence, atresia and stenosis of large intestine
Q42.0;Prirojena odsotnost, atrezija in stenoza rektuma s fistulo;Congenital absence, atresia and stenosis of rectum with fistula
Q42.00;Prirojena odsotnost, atrezija in zožitev rektuma s fistulo kjerkoli;Congenital absence, atresia and stenosis of rectum with unspecified fistula
Q42.01;Prirojena odsotnost, atrezija in zožitev rektuma z rektouretralno fistulo;Congenital absence, atresia and stenosis of rectum with rectourethral fistula
Q42.02;Prirojena odsotnost, atrezija in zožitev rektuma z rektovezikalno fistulo;Congenital absence, atresia and stenosis of rectum with rectovesical fistula
Q42.03;Prirojena odsotnost, atrezija in zožitev rektuma z rektovulvalno fistulo;Congenital absence, atresia and stenosis of rectum with rectovulval fistula
Q42.04;Prirojena odsotnost, atrezija in zožitev rektuma z rektokutano fistulo;Congenital absence, atresia and stenosis of rectum with rectocutaneous fistula
Q42.05;Prirojena odsotnost, atrezija in zožitev rektuma z rektokloakalno fistulo;Congenital absence, atresia and stenosis of rectum with rectocloacal fistula
Q42.09;Prirojena odsotnost, atrezija in zožitev rektuma z drugo fistulo ;Congenital absence, atresia and stenosis of rectum with other fistula
Q42.1;Prirojena odsotnost, atrezija in stenoza rektuma brez fistule;Congenital absence, atresia and stenosis of rectum without fistula
Q42.2;Prirojena odsotnost, atrezija in stenoza anusa s fistulo;Congenital absence, atresia and stenosis of anus with fistula
Q42.20;Prirojena odsotnost, atrezija ali zožitev anusa s fistulo kjerkoli;Congenital absence, atresia and stenosis of anus with unspecified fistula
Q42.21;Prirojena odsotnost, atrezija ali zožitev anusa z anokutano fistulo;Congenital absence, atresia and stenosis of anus with anocutaneous fistula
Q42.22;Prirojena odsotnost, atrezija ali zožitev anusa z anovestibularno fistulo;Congenital absence, atresia and stenosis of anus with anovestibular fistula
Q42.29;Prirojena odsotnost, atrezija ali zožitev anusa z drugo fistulo;Congenital absence, atresia and stenosis of anus with other fistula
Q42.3;Prirojena odsotnost, atrezija in stenoza anusa brez fistule;Congenital absence, atresia and stenosis of anus without fistula
Q42.8;Prirojena odsotnost, atrezija in stenoza drugih delov debelega črevesa;Congenital absence, atresia and stenosis of other parts of large intestine
Q42.9;Prirojena odsotnost, atrezija in stenoza debelega črevesa, na neopredeljem delu;Congenital absence, atresia and stenosis of large intestine, part unspecified
Q43;Druge prirojene malformacije črevesa;Other congenital malformations of intestine
Q43.0;Meckelov divertikel;Meckel's diverticulum
Q43.1;Hirschsprungova bolezen;Hirschsprung's disease
Q43.10;Hirschprungova bolezen, neopredeljena;Hirschsprung's disease, unspecified
Q43.11;Hirschprungova bolezen kratkega segmenta;Short segment Hirschsprung's disease
Q43.12;Hirschprungova bolezen dolgega segmenta;Long segment Hirschsprung's disease
Q43.19;Hirschprungova bolezen, druga;Other Hirschsprung's disease
Q43.2;Druge prirojene funkcionalne malformacije kolona;Other congenital functional disorders of colon
Q43.3;Prirojene malformacije pritrditve črevesa;Congenital malformations of intestinal fixation
Q43.31;Malrotacija kolona;Malrotation of colon
Q43.32;Prirojene znotraj abdominalne adhezije;Congenital intra-abdominal adhesions (bands)
Q43.39;Druge prirojene malformacije pritrditve črevesa;Other congenital malformations of intestinal fixation
Q43.4;Črevesna duplikatura;Duplication of intestine
Q43.5;Ektopija anusa;Ectopic anus
Q43.6;Prirojena fistula rektuma in anusa;Congenital fistula of rectum and anus
Q43.7;Persistentna kloaka;Persistent cloaca
Q43.8;Druge opredeljene prirojene malformacije črevesa;Other specified congenital malformations of intestine
Q43.9;Prirojena malformacija črevesa, neopredeljena;Congenital malformation of intestine, unspecified
Q44;Prirojene malformacije žolčnika, žolčevodov in jeter;Congenital malformations of gallbladder, bile ducts and liver
Q44.0;Agenezija, aplazija in hipoplazija žolčnika;Agenesis, aplasia and hypoplasia of gallbladder
Q44.1;Druge prirojene malformacije žolčnika;Other congenital malformations of gallbladder
Q44.2;Atrezija žolčevodov;Atresia of bile ducts
Q44.3;Prirojena stenoza in striktura žolčevodov;Congenital stenosis and stricture of bile ducts
Q44.4;Cista holedohusa;Choledochal cyst
Q44.5;Druge prirojene malformacije žolčevodov;Other congenital malformations of bile ducts
Q44.6;Cistična bolezen jeter;Cystic disease of liver
Q44.7;Druge prirojene malformacije jeter;Other congenital malformations of liver
Q44.71;Alagillov sindrom;Alagille syndrome
Q44.79;Druge prirojene malformacije jeter;Other congenital malformations of liver
Q45;Druge prirojene malformacije prebavil;Other congenital malformations of digestive system
Q45.0;Agenezija, aplazija in hipoplazija trebušne slinavke;Agenesis, aplasia and hypoplasia of pancreas
Q45.1;Obročasta trebušna slinavka;Annular pancreas
Q45.2;Prirojena cista trebušne slinavke;Congenital pancreatic cyst
Q45.3;Druge prirojene malformacije trebušne slinavke in njenega izvodila;Other congenital malformations of pancreas and pancreatic duct
Q45.31;Ektopična trebušna slinavka;Ectopic pancreas
Q45.39;Prirojene malformacije trebušne slinavke in njenih vodov;Other congenital malformations of pancreas and pancreatic duct
Q45.8;Druge opredeljene prirojene malformacije prebavil;Other specified congenital malformations of digestive system
Q45.81;Odsotnost prebavnega trakta, kompletna ali delna, neuvrščena drugje;Absence (complete) (partial) of alimentary tract, not elsewhere classified
Q45.82;Podvojeni organi prebavnega trakta, neuvrščeni drugje;Duplication of digestive organs, not elsewhere classified
Q45.83;Prirojena malpozicija organov prebavnega trakta, neuvrščena drugje;Congenital malposition of digestive organs, not elsewhere classified
Q45.84;Prirojena mezenterična cista, neuvrščena drugje;Congenital mesenteric cyst, not elsewhere classified
Q45.89;Ostale opredeljene prirojene malformacije prebavnega trakta;Other specified congenital malformations of digestive system
Q45.9;Prirojena malformacija prebavil, neopredeljena;Congenital malformation of digestive system, unspecified
Q50;Prirojene malformacije jajčnikov, jajcevodov in širokih vezi;Congenital malformations of ovaries, fallopian tubes and broad ligaments
Q50.0;Prirojena odsotnost jajčnika;Congenital absence of ovary
Q50.00;Prirojena odsotnost jajčnika, neopredeljena;Congenital absence of ovary, unspecified
Q50.01;Prirojena odsotnost jajčnika, enostranska;Congenital absence of ovary, unilateral
Q50.02;Prirojena odsotnost jajčnika, obojestranska;Congenital absence of ovary, bilateral
Q50.1;Razvojna cista jajčnika;Developmental ovarian cyst
Q50.10;Razvojna cista jajčnika, neopredeljena;Developmental ovarian cyst, unspecified
Q50.11;Razvojna cista jajčnika, enojna;Developmental ovarian cyst, single
Q50.12;Razvojna ciste jajčnika, številne;Developmental ovarian cyst, multiple
Q50.2;Prirojen zasuk jajčnika (torzija);Congenital torsion of ovary
Q50.3;Druge prirojene malformacije jajčnika;Other congenital malformations of ovary
Q50.31;Trakasti ovariji;Ovarian streak
Q50.39;Druge prirojene malformacije jajčnika;Other congenital malformations of ovary
Q50.4;Embrionalna cista jajcevoda;Embryonic cyst of fallopian tube
Q50.5;Embrionalna cista široke vezi;Embryonic cyst of broad ligament
Q50.6;Druge prirojene malformacije jajcevoda in široke vezi;Other congenital malformations of fallopian tube and broad ligament
Q50.61;Odsotnost jajcevoda in široke vezi;Absence of fallopian tube and broad ligament
Q50.69;Druge prirojene malformacije jajcevoda in široke vezi;Other congenital malformations of fallopian tube and broad ligament
Q51;Prirojene malformacije maternice in materničnega vratu;Congenital malformations of uterus and cervix
Q51.0;Agenezija in aplazija maternice;Agenesis and aplasia of uterus
Q51.1;Podvojena maternica s podvojenim materničnim vratom in nožnico;Doubling of uterus with doubling of cervix and vagina
Q51.2;Druge vrste podvojitev maternice;Other doubling of uterus
Q51.3;Dvoroga maternica;Bicornate uterus
Q51.4;Enoroga maternica;Unicornate uterus
Q51.5;Agenezija in aplazija materničnega vratu;Agenesis and aplasia of cervix
Q51.6;Embrionalna cista materničnega vratu;Embryonic cyst of cervix
Q51.7;Prirojene fistule med maternico in prebavili ter sečili;Congenital fistulae between uterus and digestive and urinary tracts
Q51.8;Druge prirojene malformacije maternice in materničnega vratu;Other congenital malformations of uterus and cervix
Q51.9;Prirojena malformacija maternice in materničnega vratu, neopredeljena;Congenital malformation of uterus and cervix, unspecified
Q52;Druge prirojene malformacije ženskih spolovil;Other congenital malformations of female genitalia
Q52.0;Prirojena odsotnost nožnice;Congenital absence of vagina
Q52.1;Podvojitev nožnice;Doubling of vagina
Q52.2;Prirojena rektovaginalna fistula;Congenital rectovaginal fistula
Q52.3;Nepredrta deviška kožica (nepredrti himen);Imperforate hymen
Q52.4;Druge prirojene malformacije nožnice;Other congenital malformations of vagina
Q52.5;Zraščene sramne ustnice;Fusion of labia
Q52.6;Prirojena malformacija ščegetavčka;Congenital malformation of clitoris
Q52.7;Druge prirojene malformacije vulve;Other congenital malformations of vulva
Q52.8;Druge opredeljene prirojene malformacije ženskih spolovil;Other specified congenital malformations of female genitalia
Q52.9;Prirojena malformacija ženskih spolovil, neopredeljena;Congenital malformation of female genitalia, unspecified
Q53;Malformacije pri spuščanju testisa (nespuščeno modo);Undescended testicle
Q53.0;Ektopična moda;Ectopic testis
Q53.1;Nespuščeno modo, enostransko;Undescended testicle, unilateral
Q53.10;Nespuščeno modo, enostransko, neopredeljeno mesto ;Undescended testicle, unilateral, unspecified site
Q53.11;Nespuščeno modo, enostransko, v kanalu ;Undescended testicle, unilateral, canalicular
Q53.12;Nespuščeno modo, enostransko, ingvinalno ;Undescended testicle, unilateral, inguinal
Q53.13;Nespuščeno modo, enostransko, intraabdominalno ;Undescended testicle, unilateral, intra-abdominal
Q53.2;Nespuščena moda, obojestransko;Undescended testicle, bilateral
Q53.20;Nespuščena moda, obojestransko, neopredeljeno mesto;Undescended testicle, bilateral, unspecified site
Q53.21;Nespuščena moda, obojestransko, v kanalu;Undescended testicle, bilateral, canalicular
Q53.22;Nespuščena moda, obojestransko, ingvinalno ;Undescended testicle, bilateral, inguinal
Q53.23;Nespuščena moda, obojestransko, intraabdominalno ;Undescended testicle, bilateral, intra-abdominal
Q53.9;Nespuščeno modo, neopredeljeno;Undescended testicle, unspecified laterality
Q53.90;Nespuščeno modo, neopredeljena stran;Undescended testicle, unspecified laterality, unspecified site
Q53.91;Nespuščeno modo, neopredeljena stran, v kanalu ;Undescended testicle, unspecified laterality, canalicular
Q53.92;Nespuščeno modo, neopredeljena stran, ingvinalno;Undescended testicle, unspecified laterality, inguinal
Q53.93;Nespuščeno modo, neopredeljena stran, intraabdominalno ;Undescended testicle, unspecified laterality, intra-abdominal
Q54;Hipospadija;Hypospadias
Q54.0;Hipospadija, na glavici penisa;Hypospadias, balanic
Q54.1;Hipospadija, na penisu;Hypospadias, penile
Q54.2;Hipospadija, penoskrotalna;Hypospadias, penoscrotal
Q54.3;Hipospadija, na perineju;Hypospadias, perineal
Q54.4;Chordee (ukrivljenost penisa navzdol), prirojena;Congenital chordee
Q54.8;Druge hipospadije;Other hypospadias
Q54.9;Hipospadija, neopredeljena;Hypospadias, unspecified
Q55;Druge prirojene malformacije moških spolovil;Other congenital malformations of male genital organs
Q55.0;Odsotnost in aplazija mod;Absence and aplasia of testis
Q55.00;Odsotnost in aplazija moda, neopredeljena;Absence and aplasia of testis, unspecified
Q55.01;Odsotnost in aplazija moda, enostranska;Absence and aplasia of testis, unilateral
Q55.02;Odsotnost in aplazija moda, obojestransko;Absence and aplasia of testis, bilateral
Q55.1;Hipoplazija mod in modnika;Hypoplasia of testis and scrotum
Q55.2;Druge prirojene malformacije mod in modnika;Other congenital malformations of testis and scrotum
Q55.21;Pomično modo;Retractile testis
Q55.22;Razcepljena mošnja;Bifid scrotum
Q55.29;Druge prirojene malformacije moda ali mošnje;Other congenital malformation of testis or scrotum
Q55.3;Atrezija semenskega izvodila;Atresia of vas deferens
Q55.4;Druge prirojene malformacije semenovoda, epididimisa, semenjaka in obsečnice (prostate);Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate
Q55.5;Prirojena odsotnost in aplazija penisa;Congenital absence and aplasia of penis
Q55.6;Druge prirojene malformacije penisa;Other congenital malformations of penis
Q55.8;Druge opredeljene prirojene malformacije moških spolovil;Other specified congenital malformations of male genital organs
Q55.9;Prirojena malformacija moških spolovil, neopredeljena;Congenital malformation of male genital organ, unspecified
Q56;Nedoločen spol in psevdohermafroditizem;Indeterminate sex and pseudohermaphroditism
Q56.0;Hermafroditizem, ki ni uvrščen drugje;Hermaphroditism, not elsewhere classified
Q56.1;Moški psevdohermafroditizem, ki ni uvrščen drugje;Male pseudohermaphroditism, not elsewhere classified
Q56.2;Ženski psevdohermafroditizem, ki ni uvrščen drugje;Female pseudohermaphroditism, not elsewhere classified
Q56.3;Psevdohermafroditizem, neopredeljen;Pseudohermaphroditism, unspecified
Q56.4;Nedoločen spol, neopredeljen;Indeterminate sex, unspecified
Q60;Agenezija ledvic in druge napake z zmanjšanjem (redukcijski defekt) ledvice;Renal agenesis and other reduction defects of kidney
Q60.0;Agenezija ledvice, enostranska;Renal agenesis, unilateral
Q60.1;Agenezija ledvice, obojestranska;Renal agenesis, bilateral
Q60.2;Agenezija ledvice, neopredeljena;Renal agenesis, unspecified
Q60.3;Hipoplazija ledvice, enostranska;Renal hypoplasia, unilateral
Q60.4;Hipoplazija ledvice, obojestranska;Renal hypoplasia, bilateral
Q60.5;Hipoplazija ledvice, neopredeljena;Renal hypoplasia, unspecified
Q60.6;Potterjev sindrom;Potter's syndrome
Q61;Cistična bolezen ledvice;Cystic kidney disease
Q61.0;Prirojena enojna cista ledvice;Congenital single renal cyst
Q61.1;Policistična ledvica, avtosomatsko recesivna;Polycystic kidney, autosomal recessive
Q61.2;Policistična ledvica, avtosomatsko dominantna;Polycystic kidney, autosomal dominant
Q61.3;Policistična ledvica, neopredeljena;Polycystic kidney, unspecified
Q61.4;Displazija ledvic;Renal dysplasia
Q61.40;Displazija ledvic, neopredeljena;Renal dysplasia, unspecified
Q61.41;Cistična displazija ledvic, enostranska;Cystic renal dysplasia, unilateral
Q61.42;Cistična displazija ledvic, dvostranska;Cystic renal dysplasia, bilateral
Q61.5;Medularno cistična ledvica;Medullary cystic kidney
Q61.50;Medularno cistična ledvica, neopredeljena;Medullary cystic kidney, unspecified
Q61.51;Medularno cistična ledvica, juvenilni tip;Juvenile medullary cystic kidney
Q61.52;Medularno cistična ledvica, odrasli tip;Adult type medullary cystic kidney
Q61.8;Druge bolezni s cistami ledvic;Other cystic kidney diseases
Q61.9;Cistična bolezen ledvic, neopredeljena;Cystic kidney disease, unspecified
Q62;Prirojene napake z obstrukcijo ledvičnega meha in prirojene malformacije sečevoda;Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Q62.0;Prirojena hidronefroza;Congenital hydronephrosis
Q62.1;Atrezija in stenoza sečevoda;Atresia and stenosis of ureter
Q62.11;Atrezija in zožitev ureteropelvičnega spoja enostranska;Atresia and stenosis of ureteropelvic junction, unilateral
Q62.12;Atrezija in zožitev ureteropelvičnega spoja obojestranska;Atresia and stenosis of ureteropelvic junction, bilateral
Q62.13;Atrezija in zožitev ureterovezikalnega spoja enostranska;Atresia and stenosis of ureterovesical junction, unilateral
Q62.14;Atrezija in zožitev ureterovezikalnega spoja obojestranska;Atresia and stenosis of ureterovesical junction, bilateral
Q62.18;Atrezija in zožitev drugih in neopredeljenih mest sečevoda, enostranska;Atresia and stenosis of other and unspecified site of ureter, unilateral
Q62.19;Atrezija in zožitev drugih in neopredeljenih mest sečevoda, obojestranska;Atresia and stenosis of other and unspecified site of ureter, bilateral
Q62.2;Prirojeni megaureter;Congenital megaloureter
Q62.3;Druge prirojene napake z obstrukcijo ledvičnega meha in sečevoda;Other obstructive defects of renal pelvis and ureter
Q62.31;Ektopična ureterokela;Ectopic ureterocele
Q62.32;Ortotopična ureterokela;Orthotopic ureterocele
Q62.33;Prirojeni polip sečevoda;Congenital polyp of ureter
Q62.34;Prirojeni hidroureter;Congenital hydroureter
Q62.39;Druge prirojene napake z zaporo ledvičnega meha in sečevoda;Other congenital obstructive defects of renal pelvis and ureter
Q62.4;Agenezija sečevoda;Agenesis of ureter
Q62.5;Podvojitev sečevoda;Duplication of ureter
Q62.51;Dvojni sečevod;Double ureter
Q62.52;Trojni sečevod;Triple ureter
Q62.59;Druge podvojitve sečevodov;Other duplication of ureter
Q62.6;Napačni položaj sečevoda;Malposition of ureter
Q62.60;Napačni položaj sečevoda, neopredeljena stran odtoka iz sečevoda;Malposition of ureter, unspecified ureteric drainage site
Q62.61;Napačni položaj sečevoda, odtok iz sečevoda preko vratu mehurja;Malposition of ureter, ureteric drainage via bladder neck
Q62.62;Napačni položaj sečevoda, odtok iz sečevoda preko sečnice;Malposition of ureter, ureteric drainage via urethra
Q62.63;Napačni položaj sečevoda, odtok iz sečevoda preko nožnice;Malposition of ureter, ureteric drainage via vagina
Q62.64;Napačni položaj sečevoda, odtok iz sečevoda preko vulve;Malposition of ureter, ureteric drainage via vulva
Q62.65;Napačni položaj sečevoda, odtok iz sečevoda preko semenovoda;Malposition of ureter, ureteric drainage via vas deferens
Q62.66;Napačni položaj sečevoda, odtok iz sečevoda preko semenjaka;Malposition of ureter, ureteric drainage via seminal vesicles
Q62.69;Napačni položaj sečevoda, odtok iz sečevoda preko drugih mest;Malposition of ureter, ureteric drainage via other site
Q62.7;Prirojeni vezikoureterorenalni refluks;Congenital vesico-uretero-renal reflux
Q62.70;Prirojeni vezikoureterorenalni refluks, neopredeljen  ;Congenital vesico-uretero-renal reflux, unspecified
Q62.71;Prirojeni vezikoureterorenalni refluks, enostranski;Congenital vesico-uretero-renal reflux, unilateral
Q62.72;Prirojeni vezikoureterorenalni refluks, dvostranski;Congenital vesico-uretero-renal reflux, bilateral
Q62.8;Druge prirojene malformacije sečevoda;Other congenital malformations of ureter
Q63;Druge prirojene malformacije ledvice;Other congenital malformations of kidney
Q63.0;Dodatna ledvica;Accessory kidney
Q63.01;Podvojena ledvica;Double kidney
Q63.02;Potrojena ledvica;Triple kidney
Q63.09;Druga dodatna ledvica;Other accessory kidney
Q63.1;Režnjata, zrasla in podkvasta ledvica;Lobulated, fused and horseshoe kidney
Q63.10;Zrasla ledvica, neopredeljena;Renal fusion anomaly, unspecified
Q63.11;Podkvasta ledvica;Horseshoe kidney
Q63.19;Druge opredeljene ledvične nepravilnosti z zraščenostjo;Other specified renal fusion anomaly
Q63.2;Ektopična ledvica;Ectopic kidney
Q63.20;Ektopična ledvica, neopredeljena;Renal ectopia, unspecified
Q63.21;Ledvica v medenici;Pelvic kidney
Q63.22;Križna ektopija ledvic brez zraščenosti;Crossed ectopia of kidney without fusion anomaly
Q63.23;Križna ektopija ledvic z zraščenostjo;Crossed ectopia of kidney with fusion anomaly
Q63.29;Druge opredeljene ektopije ledvic;Other specified renal ectopia
Q63.3;Hiperplastična in orjaška ledvica;Hyperplastic and giant kidney
Q63.8;Druge opredeljene prirojene malformacije ledvice;Other specified congenital malformations of kidney
Q63.81;Prirojeni divertikulum ledvičnih čašic;Congenital calyceal diverticulum
Q63.89;Prirojena malformacija ledvice, neopredeljena;Other specified congenital malformations of kidney
Q63.9;Prirojena malformacija ledvice, neopredeljena;Congenital malformation of kidney, unspecified
Q64;Druge prirojene malformacije sečil;Other congenital malformations of urinary system
Q64.0;Epispadija;Epispadias
Q64.1;Ekstrofija sečnega mehurja;Exstrophy of urinary bladder
Q64.11;Ekstrofija kloake;Cloacal exstrophy
Q64.19;Ekstrofija dečnega mehurja;Exstrophy of urinary bladder
Q64.2;Prirojene zaklopke sečnice (zadnje);Congenital urethral valves
Q64.20;Prirojene zaklopke sečnice, neopredeljene;Congenital urethral valves, unspecified
Q64.21;Prirojene zaklopke sečnice, zadnje;Congenital posterior urethral valves
Q64.22;Prirojene zaklopke sečnice, sprednje;Congenital anterior urethral valves
Q64.3;Druge vrste atrezija in stenoza sečnice in vratu sečnega mehurja;Other atresia and stenosis of urethra and bladder neck
Q64.31;Prirojena obstrukcija vratu mehurja;Congenital bladder neck obstruction
Q64.32;Prirojena striktura sečnice;Congenital stricture of urethra
Q64.33;Prirojena striktura meatusa sečnice;Congenital stricture of urethral meatus
Q64.34;Hipoplazija sečnice;Hypoplasia of urethra
Q64.39;Druge atrezije in zožitve sečnice in vratu mehurja;Other atresia and stenosis of urethra and bladder neck
Q64.4;Napaka urahusa;Malformation of urachus
Q64.41;Cista urahusa;Cyst of urachus
Q64.42;Delujoči urahus;Patent urachus
Q64.43;Divertikulum urahusa;Urachal diverticulum
Q64.49;Druge opredeljene nepravilnosti urahusa;Other specified malformation of urachus
Q64.5;Prirojena odsotnost sečnega mehurja in sečnice;Congenital absence of bladder and urethra
Q64.6;Prirojeni divertikel sečnega mehurja;Congenital diverticulum of bladder
Q64.7;Druge prirojene malformacije sečnega mehurja in sečnice;Other congenital malformations of bladder and urethra
Q64.71;Prirojeni divertikulum sprednje sečnice;Congenital anterior urethral diverticulum
Q64.72;Prirojeni zdrs mehurja(sluznice);Congenital prolapse of bladder (mucosa)
Q64.73;Podvojena sečnica;Double urethra
Q64.74;Ektopična sečnica ali izstopišča sečnice;Ectopic urethra or urethral orifice
Q64.75;Prirojena fistula med gastrointestinalnim traktom in sečili;Congenital gastrointestinal-urinary tract fistula
Q64.76;Prirojena megauretra;Congenital megaurethra
Q64.77;Sindrom megauretra in mega sečnega mehurja;Megacystitis-megaureter syndrome
Q64.78;Prirojen siringokela sečnice;Congenital urethral syringocele
Q64.79;Druge prirojene nepravilnosti mehurja in sečnice;Other congenital malformations of bladder and urethra
Q64.8;Druge opredeljene prirojene malformacije sečil;Other specified congenital malformations of urinary system
Q64.9;Prirojena malformacija sečil, neopredeljena;Congenital malformation of urinary system, unspecified
Q65;Prirojene deformacije kolka;Congenital deformities of hip
Q65.0;Prirojeni izpah kolka, enostranski;Congenital dislocation of hip, unilateral
Q65.1;Prirojeni izpah kolka, obojestranski;Congenital dislocation of hip, bilateral
Q65.2;Prirojeni izpah kolka, neopredeljen;Congenital dislocation of hip, unspecified
Q65.3;Prirojena subluksacija kolka, enostranska;Congenital subluxation of hip, unilateral
Q65.4;Prirojena subluksacija kolka, obojestranska;Congenital subluxation of hip, bilateral
Q65.5;Prirojena subluksacija kolka, neopredeljena;Congenital subluxation of hip, unspecified
Q65.6;Nestabilni kolk;Unstable hip
Q65.60;Nestabilni kolk, neopredeljen;Unstable hip, unspecified
Q65.61;Nestabilni kolk, enostranski;Unstable hip, unilateral
Q65.62;Nestabilni kolk, obojestranski;Unstable hip, bilateral
Q65.8;Druge prirojene deformacije kolka;Other congenital deformities of hip
Q65.9;Prirojena deformacija kolka, neopredeljena;Congenital deformity of hip, unspecified
Q66;Prirojene deformacije nog;Congenital deformities of feet
Q66.0;Pes equinovarus;Talipes equinovarus
Q66.00;Pes equinovarus, neopredeljen;Talipes equinovarus, unspecified
Q66.01;Pes equinovarus, strukturni;Structural talipes equinovarus
Q66.02;Pes equinovarus, položajni;Positional talipes equinovarus
Q66.1;Talipes calcaneovarus;Talipes calcaneovarus
Q66.2;Položaj varus stopala (metatarsus varus);Metatarsus varus
